TimestampFrom,TimestampTo,Demand,PricePerUnit
8/11/2024 0:00,8/11/2024 1:00,1.79,752.03
8/11/2024 1:00,8/11/2024 2:00,1.85,691.05
8/11/2024 2:00,8/11/2024 3:00,1.76,674.78
8/11/2024 3:00,8/11/2024 4:00,1.67,652.95
8/11/2024 4:00,8/11/2024 5:00,1.73,666.30
8/11/2024 5:00,8/11/2024 6:00,1.79,654.60
8/11/2024 6:00,8/11/2024 7:00,1.82,637.05
8/11/2024 7:00,8/11/2024 8:00,1.81,639.45
8/11/2024 8:00,8/11/2024 9:00,1.84,628.28
8/11/2024 9:00,8/11/2024 10:00,1.88,570.30
8/11/2024 10:00,8/11/2024 11:00,2.00,456.75
8/11/2024 11:00,8/11/2024 12:00,1.86,347.40
8/11/2024 12:00,8/11/2024 13:00,1.78,264.15
8/11/2024 13:00,8/11/2024 14:00,1.60,125.33
8/11/2024 14:00,8/11/2024 15:00,1.57,125.48
8/11/2024 15:00,8/11/2024 16:00,1.55,300.00
8/11/2024 16:00,8/11/2024 17:00,1.57,456.75
8/11/2024 17:00,8/11/2024 18:00,1.53,625.50
8/11/2024 18:00,8/11/2024 19:00,1.52,804.75
8/11/2024 19:00,8/11/2024 20:00,1.50,907.50
8/11/2024 20:00,8/11/2024 21:00,1.50,965.70
8/11/2024 21:00,8/11/2024 22:00,1.48,996.45
8/11/2024 22:00,8/11/2024 23:00,1.51,972.90
8/11/2024 23:00,8/12/2024 0:00,1.55,869.40
8/12/2024 0:00,8/12/2024 1:00,1.54,820.80
8/12/2024 1:00,8/12/2024 2:00,1.47,763.05
8/12/2024 2:00,8/12/2024 3:00,1.41,763.65
8/12/2024 3:00,8/12/2024 4:00,1.43,715.80
8/12/2024 4:00,8/12/2024 5:00,1.43,718.43
8/12/2024 5:00,8/12/2024 6:00,1.45,726.90
8/12/2024 6:00,8/12/2024 7:00,1.47,710.10
8/12/2024 7:00,8/12/2024 8:00,1.50,684.00
8/12/2024 8:00,8/12/2024 9:00,1.62,646.80
8/12/2024 9:00,8/12/2024 10:00,1.70,578.33
8/12/2024 10:00,8/12/2024 11:00,1.74,450.90
8/12/2024 11:00,8/12/2024 12:00,1.68,375.90
8/12/2024 12:00,8/12/2024 13:00,1.58,342.68
8/12/2024 13:00,8/12/2024 14:00,1.45,277.43
8/12/2024 14:00,8/12/2024 15:00,1.43,336.38
8/12/2024 15:00,8/12/2024 16:00,1.42,413.63
8/12/2024 16:00,8/12/2024 17:00,1.47,547.35
8/12/2024 17:00,8/12/2024 18:00,1.46,618.00
8/12/2024 18:00,8/12/2024 19:00,1.50,783.08
